hint,keyword
Legend,Phoenix
Legend,Unicorn
Legend,Vampire
Legend,Werewolf
Legend,Witch
Legend,Zombie
Medical,Band-Aid
Medical,Blood Pressure Meter
Medical,Brain
Medical,Crutch
Medical,Defibrillator
Medical,Dental Braces
Medical,Heart
Medical,IV Drip
Medical,Skull
Medical,Stethoscope
Medical,Stretcher
Medical,Syringe
Medical,Thermometer
Medical,Wheelchair
Medical,X-Ray
Outfit,Backpack
Outfit,Baseball Cap
Outfit,Belt
Outfit,Bib
Outfit,Bow-Tie
Outfit,Cargo Shorts
Outfit,Chef Hat
Outfit,Crocs
Outfit,Crown
Outfit,Diaper
Outfit,Earrings
Outfit,Eyepatch
Outfit,Glasses
Outfit,Gloves
Outfit,Graduation Cap
Outfit,Headphones
Outfit,High-Heels
Outfit,Jacket
Outfit,Monocle
Outfit,Overalls
Outfit,Purse
Outfit,Scarf
Outfit,Sneakers
Outfit,Socks
Outfit,Sombrero
Outfit,Suit
Outfit,Wallet
Outfit,Watch
Person,Actor
Person,Artist
Person,Astronaut
Person,Baby
Person,Babysitter
Person,Barber
Person,Bartender
Person,Bouncer
Person,Cashier
Person,Chef
Person,Clown
Person,Cowboy
Person,Dentist
Person,Director
Person,DJ
Person,Doctor
Person,Exterminator
Person,Farmer
Person,Firefighter
Person,Janitor
Person,Judge
Person,Knight
Person,Magician
Person,Mailman
Person,Mechanic
Person,Musician
Person,Ninja
Person,Pirate
Person,Plumber
Person,Police
Person,Programmer
Person,Protester
Person,Receptionist
Person,Robber
Person,Royalty
Person,Samurai
Person,Scientist
Person,Sniper
Person,Teacher
Person,Therapist
Person,Waiter
Place,Airport
Place,Amusement Park
Place,Arcade
Place,Art Museum
Place,Australia
Place,Bank
Place,Bathroom
Place,Beach
Place,Canada
Place,Casino
Place,Cave
Place,China
Place,Church
Place,Circus
Place,City
Place,Desert
Place,Egypt
Place,Factory
Place,Farm
Place,Forest
Place,Gas Station
Place,Graveyard
Place,Grocery Store
Place,Gym
Place,Haunted House
Place,Hospital
Place,Hotel
Place,House
Place,India
Place,Italy
Place,Japan
Place,Library
Place,Mexico
Place,Mines
Place,Ocean
Place,Playground
Place,Pool
Place,Port
Place,Prison
Place,Restaurant
Place,School
Place,Space
Place,Stadium
Place,Subway
Place,Theater
Place,USA
Place,Zoo
Recreation,American Football
Recreation,Archery
Recreation,Badminton
Recreation,Baseball
Recreation,Basketball
Recreation,Bike
Recreation,Billiards
Recreation,Bowling
Recreation,Boxing
Recreation,Camping
Recreation,Carousel
Recreation,Chess
Recreation,Choir
Recreation,Comics
Recreation,Disco
Recreation,Fencing
Recreation,Fishing
Recreation,Frisbee
Recreation,Golf
Recreation,Hiking
Recreation,Hockey
Recreation,Horseback Riding
Recreation,Hunting
Recreation,Jousting
Recreation,Kite
Recreation,Martial Arts
Recreation,Movies
Recreation,Painting
Recreation,Parachute
Recreation,Pinball
Recreation,Pole Vault
Recreation,Rock Climbing
Recreation,Roller Coaster
Recreation,Scuba Diving
Recreation,Skateboard
Recreation,Skiing
Recreation,Skydiving
Recreation,Soccer
Recreation,Surfing
Recreation,Table Tennis
Recreation,Tennis
Recreation,Ventriloquism
Recreation,Video Games
Recreation,Volleyball
Recreation,Yo-Yo
Recreation,Yoga
Technology,Battery
Technology,Cannon
Technology,Camera
Technology,Computer
Technology,Electric Fan
Technology,Elevator
Technology,Dynamite
Technology,Grenade
Technology,Handgun
Technology,Keyboard
Technology,Lamp
Technology,Laptop
Technology,Lava Lamp
Technology,Lawn Mower
Technology,Light Bulb
Technology,Mouse
Technology,Power Outlet
Technology,Power Strip
Technology,Printer
Technology,Radio
Technology,Satellite
Technology,Sewing Machine
Technology,Telephone
Technology,Telephone Pole
Technology,Television
Technology,Vacuum Cleaner
Technology,Water Cooler
Technology,Wi-Fi
Tool,Axe
Tool,Binoculars
Tool,Bucket
Tool,Calculator
Tool,Chainsaw
Tool,Compass
Tool,Flashlight
Tool,Gas Mask
Tool,Hammer
Tool,Handcuffs
Tool,Hand Drill
Tool,Handsaw
Tool,Measuring Tape
Tool,Microscope
Tool,Mousetrap
Tool,Paintbrush
Tool,Pen
Tool,Pencil Sharpener
Tool,Scissors
Tool,Screwdriver
Tool,Stapler
Tool,Tape
Tool,Telescope
Tool,Umbrella
Tool,Whisk
Tool,Whistle
Vehicle,Airplane
Vehicle,Ambulance
Vehicle,Bicycle
Vehicle,Blimp
Vehicle,Boat
Vehicle,Bulldozer
Vehicle,Bus
Vehicle,Car
Vehicle,Chariot
Vehicle,Dog Sled
Vehicle,Firetruck
Vehicle,Helicopter
Vehicle,Hot Air Balloon
Vehicle,Motorcycle
Vehicle,RV
Vehicle,Scooter
Vehicle,Sky Tram
Vehicle,Spaceship
Vehicle,Stroller
Vehicle,Submarine
Vehicle,Tank
Vehicle,Tractor
Vehicle,Train
Vehicle,Truck
Vehicle,UFO
Vehicle,Unicycle
Vehicle,Wheelbarrow
